id_bradesco,unit_name,data_inicio,dias_antes_automacao,reference_id,unit_id
649,649 PARANGABA - U FORT -CE,09/15/25,19,4928,4658
586,586 SERRA TALHADA,09/15/25,19,4734,4498
1478,1478 ITAPEMIRIM,09/15/25,19,4743,4507
163,163 NAVEGANTES SC,09/15/25,19,4999,4717
322,322 SUMARE-CTO.,09/15/25,19,4988,4716
2805,2805 ITAIPAVA-DIST.PETROP,09/15/25,18,4913,4647
1147,1147 AV.PERIMETRAL NORTE-URB.GOIÂNIA-GO,09/15/25,18,,
888,888 BAIRRO VISTA VERDE URB. SJC,09/15/25,18,5058,4719
553,553 CACHOEIRO ITAPEMIRIM,09/15/25,18,4745,4509
1474,1474 GUARAPARI,09/15/25,18,4753,4517
437,437 AUTAZES,09/15/25,17,5086,4726
645,645 JOSE WALTER - U FORT -CE,09/15/25,17,4991,4723
3154,3154 V.PAULISTA-U.TAUBATE,09/15/25,17,5045,4725
1409,1409 SETOR INDL-UBRASIL.,09/15/25,17,4725,4494
2741,2741 PC.8 DEZEMBRO-UGUAR.,09/15/25,17,5010,4724
2718,2718 BOM CLIMA-U.GUARUL.,09/15/25,17,4918,4652
546,546 MARABA-CENTRO,09/15/25,17,4880,4620
