unit_id,data,hora,metodo,consumo_kwh_total,qtd_dispositivos
231,2025-02-21,10,indireto,8.0,2
231,2025-02-21,11,indireto,8.0,2
231,2025-02-21,12,indireto,8.0,2
231,2025-02-21,13,indireto,7.75,2
231,2025-02-21,14,indireto,8.0,2
231,2025-02-21,15,indireto,8.0,2
231,2025-02-21,16,indireto,8.0,2
231,2025-02-21,17,indireto,7.649,2
231,2025-02-21,18,indireto,6.65,2
231,2025-02-21,19,indireto,6.882,2
231,2025-02-21,20,indireto,6.911,2
231,2025-02-21,21,indireto,6.45,2
231,2025-02-21,22,indireto,2.654,2
231,2025-02-21,23,indireto,1.351,1
231,2025-02-22,6,indireto,4.061,3
231,2025-02-22,7,indireto,10.75,3
231,2025-02-22,8,indireto,10.315,3
231,2025-02-22,9,indireto,11.633,3
231,2025-02-22,10,indireto,11.182,3
231,2025-02-22,11,indireto,12.0,3
231,2025-02-22,12,indireto,11.649,3
231,2025-02-22,13,indireto,11.667,3
231,2025-02-22,14,indireto,11.367,3
231,2025-02-22,15,indireto,11.148,3
231,2025-02-22,16,indireto,10.85,3
231,2025-02-22,17,indireto,8.684,3
231,2025-02-22,18,indireto,10.764,3
231,2025-02-22,19,indireto,9.449,3
231,2025-02-22,20,indireto,9.131,3
231,2025-02-22,21,indireto,1.474,3
231,2025-02-22,22,indireto,4.641,2
231,2025-02-23,7,indireto,11.563,3
231,2025-02-23,8,indireto,11.024,3
231,2025-02-23,9,indireto,10.545,3
231,2025-02-23,10,indireto,11.547,3
231,2025-02-23,11,indireto,11.353,3
231,2025-02-23,12,indireto,12.0,3
231,2025-02-23,13,indireto,10.04,3
231,2025-02-23,14,indireto,12.0,3
231,2025-02-23,15,indireto,11.367,3
231,2025-02-23,16,indireto,12.0,3
231,2025-02-23,17,indireto,11.317,3
231,2025-02-23,18,indireto,10.867,3
231,2025-02-23,19,indireto,10.613,3
231,2025-02-23,20,indireto,11.253,3
231,2025-02-23,21,indireto,10.933,3
231,2025-02-23,22,indireto,6.181,3
231,2025-02-24,7,indireto,10.814,3
231,2025-02-24,8,indireto,10.575,3
231,2025-02-24,9,indireto,10.849,3
231,2025-02-24,10,indireto,11.477,3
231,2025-02-24,11,indireto,11.506,3
231,2025-02-24,12,indireto,10.462,3
231,2025-02-24,13,indireto,12.0,3
231,2025-02-24,14,indireto,11.833,3
231,2025-02-24,15,indireto,11.483,3
231,2025-02-24,16,indireto,12.0,3
231,2025-02-24,17,indireto,12.0,3
231,2025-02-24,18,indireto,12.0,3
231,2025-02-24,19,indireto,10.993,3
231,2025-02-24,20,indireto,11.524,3
231,2025-02-24,21,indireto,10.516,3
231,2025-02-24,22,indireto,9.509,3
231,2025-02-24,23,indireto,0.133,1
231,2025-02-25,7,indireto,7.75,2
231,2025-02-25,8,indireto,7.313,2
231,2025-02-25,9,indireto,7.965,3
231,2025-02-25,10,indireto,8.056,3
231,2025-02-25,11,indireto,8.0,2
231,2025-02-25,12,indireto,8.0,2
231,2025-02-25,13,indireto,8.277,3
231,2025-02-25,14,indireto,12.0,3
231,2025-02-25,15,indireto,11.75,3
231,2025-02-25,16,indireto,12.0,3
231,2025-02-25,17,indireto,12.0,3
231,2025-02-25,18,indireto,10.632,3
231,2025-02-25,19,indireto,10.21,3
231,2025-02-25,20,indireto,9.565,3
231,2025-02-25,21,indireto,10.017,3
231,2025-02-25,22,indireto,8.143,3
231,2025-02-25,23,indireto,1.9,1
231,2025-02-26,6,indireto,0.038,1
231,2025-02-26,7,indireto,6.399,2
231,2025-02-26,8,indireto,7.328,2
231,2025-02-26,9,indireto,8.0,2
231,2025-02-26,10,indireto,8.0,2
231,2025-02-26,11,indireto,8.0,2
231,2025-02-26,12,indireto,8.0,2
231,2025-02-26,13,indireto,8.0,2
231,2025-02-26,14,indireto,8.0,2
231,2025-02-26,15,indireto,8.0,2
231,2025-02-26,16,indireto,8.0,2
231,2025-02-26,17,indireto,8.0,2
231,2025-02-26,18,indireto,7.234,2
231,2025-02-26,19,indireto,6.533,2
231,2025-02-26,20,indireto,6.986,2
231,2025-02-26,21,indireto,6.863,2
231,2025-02-26,22,indireto,3.661,2
231,2025-02-27,7,indireto,10.244,3
231,2025-02-27,8,indireto,10.947,3
231,2025-02-27,9,indireto,11.017,3
231,2025-02-27,10,indireto,11.763,3
231,2025-02-27,11,indireto,6.665,3
231,2025-02-27,13,indireto,8.632,3
231,2025-02-27,14,indireto,12.0,3
231,2025-02-27,15,indireto,11.883,3
231,2025-02-27,16,indireto,12.0,3
231,2025-02-27,17,indireto,11.667,3
231,2025-02-27,18,indireto,10.493,3
231,2025-02-27,19,indireto,10.137,3
231,2025-02-27,20,indireto,9.683,3
231,2025-02-27,21,indireto,9.517,3
231,2025-02-27,22,indireto,8.628,3
231,2025-02-27,23,indireto,2.501,1
231,2025-02-28,7,indireto,11.206,3
231,2025-02-28,8,indireto,10.131,3
231,2025-02-28,9,indireto,3.495,3
231,2025-02-28,10,indireto,6.408,3
231,2025-02-28,11,indireto,8.589,3
231,2025-02-28,12,indireto,9.206,3
231,2025-02-28,13,indireto,9.283,3
231,2025-02-28,14,indireto,8.899,3
231,2025-02-28,15,indireto,9.03,3
231,2025-02-28,16,indireto,7.763,3
231,2025-02-28,17,indireto,5.776,3
231,2025-02-28,18,indireto,3.685,3
231,2025-02-28,19,indireto,3.254,3
231,2025-02-28,20,indireto,4.046,3
231,2025-02-28,21,indireto,2.619,3
231,2025-02-28,22,indireto,2.763,3
231,2025-02-28,23,indireto,1.04,1
231,2025-03-06,8,indireto,10.048,3
231,2025-03-06,9,indireto,10.912,3
231,2025-03-06,10,indireto,8.734,3
231,2025-03-06,11,indireto,10.246,3
231,2025-03-06,12,indireto,10.239,3
231,2025-03-06,13,indireto,12.0,3
231,2025-03-06,14,indireto,12.0,3
231,2025-03-06,15,indireto,12.0,3
231,2025-03-06,16,indireto,12.0,3
231,2025-03-06,17,indireto,12.0,3
231,2025-03-06,18,indireto,12.0,3
231,2025-03-06,19,indireto,12.0,3
231,2025-03-06,20,indireto,11.197,3
231,2025-03-06,21,indireto,8.851,3
231,2025-03-06,22,indireto,5.008,3
231,2025-03-06,23,indireto,0.311,1
231,2025-03-07,7,indireto,7.663,2
231,2025-03-07,8,indireto,5.993,2
231,2025-03-07,9,indireto,4.467,3
231,2025-03-07,10,indireto,10.176,3
231,2025-03-07,11,indireto,10.199,3
231,2025-03-07,12,indireto,11.257,3
231,2025-03-07,13,indireto,11.26,3
231,2025-03-07,14,indireto,10.888,3
231,2025-03-07,15,indireto,10.329,3
231,2025-03-07,16,indireto,9.934,3
231,2025-03-07,17,indireto,9.419,3
231,2025-03-07,18,indireto,7.833,3
231,2025-03-07,19,indireto,7.552,3
231,2025-03-07,20,indireto,6.758,3
231,2025-03-07,21,indireto,8.528,3
231,2025-03-07,22,indireto,10.907,3
231,2025-03-07,23,indireto,2.011,3
231,2025-03-08,7,indireto,9.246,3
231,2025-03-08,8,indireto,11.832,3
231,2025-03-08,9,indireto,11.833,3
231,2025-03-08,10,indireto,11.666,3
231,2025-03-08,11,indireto,9.403,3
231,2025-03-08,12,indireto,11.339,3
