unit_id,data,hora,qtd_devices_total,qtd_dac,qtd_dut,peso_medio_dac,peso_medio_dut,consumo_kwh_total,metodos
117,2025-08-30,18,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-30,19,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-30,20,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-30,21,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-30,22,1,1,0,1.0,0.0,0.471,indireto
117,2025-08-31,13,1,1,0,1.0,0.0,1.329,indireto
117,2025-08-31,14,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-31,15,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-31,16,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-31,17,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-31,18,1,1,0,1.0,0.0,5.0,indireto
117,2025-08-31,19,1,1,0,1.0,0.0,4.801,indireto
117,2025-08-31,20,1,1,0,1.0,0.0,4.699,indireto
117,2025-08-31,21,1,1,0,1.0,0.0,2.644,indireto
117,2025-08-31,22,1,1,0,1.0,0.0,0.264,indireto
165,2025-04-25,8,1,0,1,0.0,1.0,3.979,indireto
165,2025-04-25,9,1,0,1,0.0,1.0,5.862,indireto
165,2025-04-25,10,1,0,1,0.0,1.0,5.862,indireto
165,2025-04-25,11,1,0,1,0.0,1.0,2.828,indireto
165,2025-04-26,8,1,0,1,0.0,1.0,1.607,indireto
165,2025-04-26,9,1,0,1,0.0,1.0,2.994,indireto
165,2025-04-28,9,1,0,1,0.0,1.0,2.336,indireto
165,2025-04-28,10,1,0,1,0.0,1.0,5.862,indireto
165,2025-04-28,11,1,0,1,0.0,1.0,5.862,indireto
165,2025-04-28,12,1,0,1,0.0,1.0,5.862,indireto
165,2025-04-28,13,1,0,1,0.0,1.0,5.862,indireto
165,2025-04-28,14,1,0,1,0.0,1.0,5.862,indireto
165,2025-04-28,15,1,0,1,0.0,1.0,5.862,indireto
165,2025-04-28,16,1,0,1,0.0,1.0,5.862,indireto
165,2025-04-28,17,1,0,1,0.0,1.0,5.862,indireto
165,2025-04-28,18,1,0,1,0.0,1.0,3.19,indireto
165,2025-05-02,8,1,0,1,0.0,1.0,0.304,indireto
165,2025-05-02,9,1,0,1,0.0,1.0,0.869,indireto
165,2025-05-02,10,1,0,1,0.0,1.0,4.94,indireto
165,2025-05-02,11,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-02,12,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-02,13,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-02,14,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-02,15,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-02,16,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-02,17,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-02,18,1,0,1,0.0,1.0,3.948,indireto
165,2025-05-03,9,1,0,1,0.0,1.0,0.438,indireto
165,2025-05-03,10,1,0,1,0.0,1.0,5.578,indireto
165,2025-05-03,11,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-03,12,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-03,13,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-03,14,1,0,1,0.0,1.0,5.862,indireto
165,2025-05-03,15,1,0,1,0.0,1.0,5.862,indireto
